PRODUCT_UID	PRODUCT_SERIES	PRODUCT_CATEGORY	INSURANCE_PLAN	NAME	ACTIVATION_DATE	ITERATION	INSURANCE_YEARS	INSURANCE_DETAILS	PRODUICT_SOLD	PRICE	ACTIVATED	REPAIRS
0	0	1	0	Sample Product	1901-02-01	4	9	Sample Insurance	1523	2828.0	false	1
1	0	2	3	Sample Product	1901-02-01	10	2	Sample Insurance	283	1518.0	false	8
2	0	1	1	Sample Product	1901-02-01	11	5	Sample Insurance	1420	4466.0	true	4
3	0	0	0	Sample Product	1901-02-01	3	3	Sample Insurance	246	1245.0	false	9
4	1	2	1	Sample Product	1901-02-01	5	14	Sample Insurance	235	2356.0	true	2
5	1	1	3	Sample Product	1901-02-01	2	11	Sample Insurance	464	2987.0	true	6
6	1	1	1	Sample Product	1901-02-01	15	7	Sample Insurance	704	3780.0	false	10
7	1	3	2	Sample Product	1901-02-01	17	12	Sample Insurance	1167	3178.0	true	1
8	2	3	1	Sample Product	1901-02-01	19	15	Sample Insurance	415	2147.0	false	5
9	2	0	2	Sample Product	1901-02-01	0	1	Sample Insurance	1438	3316.0	true	2
10	2	1	2	Sample Product	1901-02-01	8	18	Sample Insurance	416	2847.0	true	0
11	2	3	1	Sample Product	1901-02-01	15	1	Sample Insurance	1163	4575.0	true	9
12	3	1	1	Sample Product	1901-02-01	4	15	Sample Insurance	768	2235.0	false	4
13	3	3	1	Sample Product	1901-02-01	9	14	Sample Insurance	434	1804.0	true	3
14	3	1	0	Sample Product	1901-02-01	10	4	Sample Insurance	37	2277.0	false	8
15	3	0	2	Sample Product	1901-02-01	3	8	Sample Insurance	1391	4426.0	false	10
16	4	0	2	Sample Product	1901-02-01	16	12	Sample Insurance	1744	3328.0	true	9
17	4	1	1	Sample Product	1901-02-01	16	10	Sample Insurance	1512	1733.0	true	5
18	4	3	3	Sample Product	1901-02-01	16	1	Sample Insurance	746	2558.0	true	2
19	4	3	2	Sample Product	1901-02-01	10	15	Sample Insurance	1353	66.0	false	7
20	5	2	2	Sample Product	1901-02-01	12	11	Sample Insurance	573	525.0	true	5
21	5	3	1	Sample Product	1901-02-01	15	20	Sample Insurance	1721	4401.0	false	0
22	5	1	2	Sample Product	1901-02-01	10	4	Sample Insurance	704	3390.0	true	10
23	5	1	2	Sample Product	1901-02-01	9	18	Sample Insurance	1309	1825.0	false	8
24	6	3	2	Sample Product	1901-02-01	4	13	Sample Insurance	793	3279.0	false	2
25	6	0	2	Sample Product	1901-02-01	19	16	Sample Insurance	1758	4401.0	true	2
26	6	2	3	Sample Product	1901-02-01	14	2	Sample Insurance	837	4285.0	false	8
27	6	4	2	Sample Product	1901-02-01	18	7	Sample Insurance	1183	3936.0	false	0
28	7	3	1	Sample Product	1901-02-01	5	11	Sample Insurance	289	1618.0	true	4
29	7	1	0	Sample Product	1901-02-01	19	14	Sample Insurance	1126	1142.0	false	7
30	7	2	3	Sample Product	1901-02-01	9	0	Sample Insurance	1121	1400.0	false	1
31	7	2	3	Sample Product	1901-02-01	13	3	Sample Insurance	1972	1685.0	false	5
32	8	2	2	Sample Product	1901-02-01	4	15	Sample Insurance	1824	3603.0	true	8
33	8	2	2	Sample Product	1901-02-01	20	12	Sample Insurance	1793	1636.0	false	3
34	8	3	0	Sample Product	1901-02-01	9	0	Sample Insurance	1363	633.0	false	4
35	8	1	3	Sample Product	1901-02-01	16	4	Sample Insurance	1653	4813.0	true	8
36	9	3	2	Sample Product	1901-02-01	12	17	Sample Insurance	69	4053.0	false	7
37	9	0	1	Sample Product	1901-02-01	10	1	Sample Insurance	347	4520.0	false	8
38	9	1	1	Sample Product	1901-02-01	3	12	Sample Insurance	485	1961.0	false	9
39	9	3	1	Sample Product	1901-02-01	1	19	Sample Insurance	1592	2176.0	true	7
40	10	2	1	Sample Product	1901-02-01	12	4	Sample Insurance	1144	4502.0	true	2
41	10	1	1	Sample Product	1901-02-01	13	20	Sample Insurance	659	340.0	false	3
42	10	1	2	Sample Product	1901-02-01	11	9	Sample Insurance	308	32.0	false	8
43	10	1	1	Sample Product	1901-02-01	9	18	Sample Insurance	1453	2638.0	true	7
44	11	2	1	Sample Product	1901-02-01	16	16	Sample Insurance	641	4421.0	false	4
45	11	4	2	Sample Product	1901-02-01	2	9	Sample Insurance	1038	3073.0	false	4
46	11	0	2	Sample Product	1901-02-01	16	6	Sample Insurance	1834	1005.0	false	1
47	11	1	0	Sample Product	1901-02-01	6	19	Sample Insurance	606	2235.0	false	7
48	12	1	0	Sample Product	1901-02-01	20	4	Sample Insurance	167	3681.0	false	9
49	12	0	2	Sample Product	1901-02-01	1	19	Sample Insurance	1891	2909.0	true	6
50	12	0	2	Sample Product	1901-02-01	14	5	Sample Insurance	29	643.0	false	0
51	12	3	2	Sample Product	1901-02-01	7	12	Sample Insurance	32	2571.0	true	4
52	13	1	2	Sample Product	1901-02-01	16	1	Sample Insurance	370	1270.0	true	2
53	13	0	1	Sample Product	1901-02-01	15	14	Sample Insurance	1877	281.0	true	10
54	13	0	2	Sample Product	1901-02-01	14	3	Sample Insurance	1108	3651.0	false	1
55	13	3	1	Sample Product	1901-02-01	6	5	Sample Insurance	735	474.0	false	9
56	14	4	2	Sample Product	1901-02-01	13	15	Sample Insurance	476	258.0	false	2
57	14	2	2	Sample Product	1901-02-01	16	9	Sample Insurance	572	1140.0	true	8
58	14	2	0	Sample Product	1901-02-01	18	11	Sample Insurance	317	4267.0	true	6
59	14	4	2	Sample Product	1901-02-01	8	8	Sample Insurance	651	3900.0	true	8
60	15	2	0	Sample Product	1901-02-01	4	2	Sample Insurance	322	4014.0	true	2
61	15	3	3	Sample Product	1901-02-01	1	7	Sample Insurance	1622	3482.0	true	10
62	15	1	1	Sample Product	1901-02-01	10	6	Sample Insurance	215	3106.0	true	8
63	15	1	0	Sample Product	1901-02-01	10	7	Sample Insurance	52	4083.0	false	5
64	16	1	0	Sample Product	1901-02-01	12	9	Sample Insurance	886	3670.0	true	0
65	16	4	0	Sample Product	1901-02-01	16	19	Sample Insurance	403	132.0	true	2
66	16	2	2	Sample Product	1901-02-01	8	3	Sample Insurance	1460	248.0	true	1
67	16	2	0	Sample Product	1901-02-01	1	14	Sample Insurance	1456	3943.0	true	4
68	17	0	2	Sample Product	1901-02-01	11	4	Sample Insurance	1325	1838.0	true	1
69	17	0	1	Sample Product	1901-02-01	17	18	Sample Insurance	178	2768.0	true	6
70	17	0	1	Sample Product	1901-02-01	2	1	Sample Insurance	90	4578.0	true	4
71	17	0	1	Sample Product	1901-02-01	16	13	Sample Insurance	37	2737.0	true	8
72	18	1	1	Sample Product	1901-02-01	17	6	Sample Insurance	504	2575.0	false	6
73	18	0	2	Sample Product	1901-02-01	9	9	Sample Insurance	759	2200.0	false	4
74	18	0	2	Sample Product	1901-02-01	17	17	Sample Insurance	1306	4380.0	true	1
75	18	1	3	Sample Product	1901-02-01	3	4	Sample Insurance	532	1960.0	true	4
76	19	3	3	Sample Product	1901-02-01	4	1	Sample Insurance	1033	2602.0	false	10
77	19	4	1	Sample Product	1901-02-01	13	5	Sample Insurance	1659	4899.0	true	10
78	19	3	0	Sample Product	1901-02-01	18	8	Sample Insurance	1759	4175.0	true	1
79	19	2	1	Sample Product	1901-02-01	9	13	Sample Insurance	648	2503.0	false	4
80	20	3	3	Sample Product	1901-02-01	3	6	Sample Insurance	1796	3763.0	false	2
81	20	1	1	Sample Product	1901-02-01	14	17	Sample Insurance	1755	776.0	true	6
82	20	0	0	Sample Product	1901-02-01	6	12	Sample Insurance	326	2814.0	true	9
83	20	2	0	Sample Product	1901-02-01	0	8	Sample Insurance	971	3053.0	true	2
84	21	2	3	Sample Product	1901-02-01	7	15	Sample Insurance	988	1751.0	false	2
85	21	1	3	Sample Product	1901-02-01	5	16	Sample Insurance	1447	2207.0	true	4
86	21	2	2	Sample Product	1901-02-01	11	2	Sample Insurance	1401	2817.0	true	0
87	21	2	2	Sample Product	1901-02-01	8	3	Sample Insurance	1376	4748.0	true	3
88	22	2	2	Sample Product	1901-02-01	3	12	Sample Insurance	1645	1061.0	false	3
89	22	3	1	Sample Product	1901-02-01	18	8	Sample Insurance	1310	4317.0	false	8
90	22	3	2	Sample Product	1901-02-01	1	17	Sample Insurance	674	965.0	false	1
91	22	2	2	Sample Product	1901-02-01	9	17	Sample Insurance	1932	2078.0	true	7
92	23	3	2	Sample Product	1901-02-01	2	6	Sample Insurance	1682	1219.0	true	3
93	23	0	2	Sample Product	1901-02-01	3	14	Sample Insurance	1260	1501.0	false	6
