PRODUCT_SERIES	PRODUCT_CATEGORY	INSURANCE_PLAN	NAME	ACTIVATION_DATE	warrenty_years	INSURANCE_YEARS	SOLD_DATE	PRODUICT_SOLD	PRODUCT_PRICE	INSURANCE_PRICE	ACTIVATED	REPAIRS	Repair_cost
0	4	2	Sample Product	2000-1-1	10	16	2000-1-1	1037	1181.0	1417.2	0	3	2362.0	
0	3	0	Sample Product	2000-1-1	9	15	2000-1-1	26	3407.0	4088.3999999999996	1	8	6814.0	
0	4	1	Sample Product	2000-1-1	12	18	2000-1-1	786	2917.0	3500.4	0	2	5834.0	
0	4	3	Sample Product	2000-1-1	10	16	2000-1-1	351	790.0	948.0	1	0	1580.0	
 
 
1	1	3	Sample Product	2000-1-1	19	25	2000-1-1	1015	2173.0	2607.6	0	2	4346.0	
 
2	1	0	Sample Product	2000-1-1	15	21	2000-1-1	1650	3617.0	4340.4	1	8	7234.0	
 
2	1	1	Sample Product	2000-1-1	6	12	2000-1-1	1773	3159.0	3790.7999999999997	0	8	6318.0	
2	0	2	Sample Product	2000-1-1	3	9	2000-1-1	1584	1447.0	1736.3999999999999	0	9	2894.0	
3	3	0	Sample Product	2000-1-1	4	10	2000-1-1	97	2785.0	3342.0	0	9	5570.0	
3	0	1	Sample Product	2000-1-1	16	22	2000-1-1	499	2332.0	2798.4	0	2	4664.0	
3	0	1	Sample Product	2000-1-1	2	8	2000-1-1	856	969.0	1162.8	0	3	1938.0	
3	1	1	Sample Product	2000-1-1	9	15	2000-1-1	1331	3499.0	4198.8	1	6	6998.0	
4	1	2	Sample Product	2000-1-1	3	9	2000-1-1	1510	2052.0	2462.4	0	9	4104.0	
4	4	1	Sample Product	2000-1-1	13	19	2000-1-1	1584	2459.0	2950.7999999999997	1	6	4918.0	
4	0	2	Sample Product	2000-1-1	8	14	2000-1-1	1274	2293.0	2751.6	1	3	4586.0	
4	1	2	Sample Product	2000-1-1	19	25	2000-1-1	81	1791.0	2149.2	0	2	3582.0	
5	4	1	Sample Product	2000-1-1	10	16	2000-1-1	636	4081.0	4897.2	0	8	8162.0	
5	0	2	Sample Product	2000-1-1	17	23	2000-1-1	724	2558.0	3069.6	1	3	5116.0	
5	0	1	Sample Product	2000-1-1	6	12	2000-1-1	1536	398.0	477.59999999999997	0	9	796.0	
5	4	1	Sample Product	2000-1-1	7	13	2000-1-1	895	3080.0	3696.0	0	2	6160.0	
 
6	2	2	Sample Product	2000-1-1	20	26	2000-1-1	67	1188.0	1425.6	1	6	2376.0	
6	4	1	Sample Product	2000-1-1	9	15	2000-1-1	866	4342.0	5210.4	0	5	8684.0	
6	1	2	Sample Product	2000-1-1	5	11	2000-1-1	318	2978.0	3573.6	0	5	5956.0	
7	1	1	Sample Product	2000-1-1	18	24	2000-1-1	1563	1040.0	1248.0	1	10	2080.0	
7	3	2	Sample Product	2000-1-1	2	8	2000-1-1	1221	2294.0	2752.7999999999997	1	6	4588.0	
7	4	2	Sample Product	2000-1-1	13	19	2000-1-1	729	4909.0	5890.8	1	6	9818.0	
7	2	0	Sample Product	2000-1-1	19	25	2000-1-1	1231	2019.0	2422.7999999999997	1	5	4038.0	
8	2	1	Sample Product	2000-1-1	16	22	2000-1-1	355	4591.0	5509.2	1	6	9182.0	
8	4	2	Sample Product	2000-1-1	19	25	2000-1-1	1992	2404.0	2884.7999999999997	0	10	4808.0	
 
8	3	1	Sample Product	2000-1-1	19	25	2000-1-1	750	4448.0	5337.599999999999	0	7	8896.0	
